municipio,estabelecimentos,cidade,uf,percentual_total
Florianópolis - SC,2229,Florianópolis,SC,10.627950221713633
Joinville - SC,1942,Joinville,SC,9.259524150097745
Itajaí - SC,1196,Itajaí,SC,5.702569970914985
Blumenau - SC,1027,Blumenau,SC,4.896772040242216
São José - SC,941,São José,SC,4.486721022266724
Palhoça - SC,819,Palhoça,SC,3.9050207409526534
Chapecó - SC,781,Chapecó,SC,3.7238354074285986
Balneário Camboriú - SC,713,Balneário Camboriú,SC,3.3996090211223953
Criciúma - SC,627,Criciúma,SC,2.989558003146903
Jaraguá do Sul - SC,556,Jaraguá do Sul,SC,2.651027511562485
Itapema - SC,435,Itapema,SC,2.074095265341153
Camboriú - SC,416,Camboriú,SC,1.9835025985791257
Brusque - SC,405,Brusque,SC,1.9310542125590044
Navegantes - SC,358,Navegantes,SC,1.7069565632003052
Lages - SC,311,Lages,SC,1.482858913841606
Tubarão - SC,255,Tubarão,SC,1.2158489486482622
Biguaçu - SC,252,Biguaçu,SC,1.2015448433700473
Indaial - SC,228,Indaial,SC,1.0871120011443283
Rio do Sul - SC,223,Rio do Sul,SC,1.063271825680637
Gaspar - SC,194,Gaspar,SC,0.9249988079912268
Araquari - SC,192,Araquari,SC,0.9154627378057503
Imbituba - SC,165,Imbituba,SC,0.7867257903018167
Araranguá - SC,162,Araranguá,SC,0.7724216850236018
Penha - SC,153,Penha,SC,0.7295093691889573
São Bento do Sul - SC,153,São Bento do Sul,SC,0.7295093691889573
São Francisco do Sul - SC,148,São Francisco do Sul,SC,0.7056691937252658
Barra Velha - SC,147,Barra Velha,SC,0.7009011586325276
Tijucas - SC,140,Tijucas,SC,0.6675249129833596
Guaramirim - SC,139,Guaramirim,SC,0.6627568778906212
Içara - SC,139,Içara,SC,0.6627568778906212
Concórdia - SC,137,Concórdia,SC,0.6532208077051447
Xanxerê - SC,136,Xanxerê,SC,0.6484527726124064
Balneário Piçarras - SC,126,Balneário Piçarras,SC,0.6007724216850236
Caçador - SC,124,Caçador,SC,0.591236351499547
Porto Belo - SC,123,Porto Belo,SC,0.5864683164068087
Timbó - SC,122,Timbó,SC,0.5817002813140705
Itapoá - SC,105,Itapoá,SC,0.5006436847375196
São Miguel do Oeste - SC,100,São Miguel do Oeste,SC,0.47680350927382825
Garopaba - SC,98,Garopaba,SC,0.4672674390883517
Videira - SC,96,Videira,SC,0.45773136890287514
Bombinhas - SC,93,Bombinhas,SC,0.4434272636246603
Laguna - SC,91,Laguna,SC,0.43389119343918375
Maravilha - SC,85,Maravilha,SC,0.40528298288275405
